date,return
2021-01-11,-0.006764
2021-01-12,0.000211
2021-01-13,0.002689
2021-01-14,-0.003508
2021-01-15,-0.00732
2021-01-19,0.007821
2021-01-20,0.013744
2021-01-21,0.000911
2021-01-22,-0.003546
2021-01-25,0.003936
2021-01-26,-0.001562
2021-01-27,-0.024744
2021-01-28,0.008563
2021-01-29,-0.020223
2021-02-01,0.016508
2021-02-02,0.014041
2021-02-03,0.000786
2021-02-04,0.011302
2021-02-05,0.003928
2021-02-08,0.007196
2021-02-09,-0.000666
2021-02-10,-0.000436
2021-02-11,0.001614
2021-02-12,0.004928
2021-02-16,-0.000866
2021-02-17,0.000229
2021-02-18,-0.004265
2021-02-19,-0.001767
2021-02-22,-0.007722
2021-02-23,0.001214
2021-02-24,0.010959
2021-02-25,-0.024391
2021-02-26,-0.005166
2021-03-01,0.023951
2021-03-02,-0.007834
2021-03-03,-0.013334
2021-03-04,-0.012452
2021-03-05,0.01823
2021-03-08,-0.004991
2021-03-09,0.014177
2021-03-10,0.006205
2021-03-11,0.010088
2021-03-12,0.001346
2021-03-15,0.005946
2021-03-16,-0.001262
2021-03-17,0.003404
2021-03-18,-0.014657
2021-03-19,-0.001847
2021-03-22,0.007953
2021-03-23,-0.007902
2021-03-24,-0.005096
2021-03-25,0.00561
2021-03-26,0.015987
2021-03-29,-0.000505
2021-03-30,-0.002656
2021-03-31,0.004045
2021-04-01,0.010741
2021-04-05,0.014251
2021-04-06,-0.000591
2021-04-07,0.001157
2021-04-08,0.004736
2021-04-09,0.007244
2021-04-12,0.000365
2021-04-13,0.002959
2021-04-14,-0.003421
2021-04-15,0.010685
2021-04-16,0.003337
2021-04-19,-0.004925
2021-04-20,-0.007349
2021-04-21,0.009418
2021-04-22,-0.009175
2021-04-23,0.010784
2021-04-26,0.002085
2021-04-27,-0.000216
2021-04-28,-0.000288
2021-04-29,0.006353
2021-04-30,-0.006592
2021-05-03,0.002154
2021-05-04,-0.006189
2021-05-05,0.000313
2021-05-06,0.007954
2021-05-07,0.007252
2021-05-10,-0.009952
2021-05-11,-0.008965
2021-05-12,-0.021474
2021-05-13,0.011941
2021-05-14,0.015239
2021-05-17,-0.002548
2021-05-18,-0.008653
2021-05-19,-0.002625
2021-05-20,0.0107
2021-05-21,-0.000819
2021-05-24,0.010143
2021-05-25,-0.002221
2021-05-26,0.001983
2021-05-27,0.000525
2021-05-28,0.001787
2021-06-01,-0.000881
2021-06-02,0.001571
2021-06-03,-0.003718
2021-06-04,0.009104
2021-06-07,-0.000971
2021-06-08,0.000213
2021-06-09,-0.001493
2021-06-10,0.004638
2021-06-11,0.001651
2021-06-14,0.002236
2021-06-15,-0.001836
2021-06-16,-0.005599
2021-06-17,-0.000332
2021-06-18,-0.016849
2021-06-21,0.014215
2021-06-22,0.005332
2021-06-23,-0.001206
2021-06-24,0.005898
2021-06-25,0.003546
2021-06-28,0.002014
2021-06-29,0.000538
2021-06-30,0.000841
2021-07-01,0.005521
2021-07-02,0.007615
2021-07-06,-0.001823
2021-07-07,0.003528
2021-07-08,-0.008181
2021-07-09,0.010618
2021-07-12,0.003576
2021-07-13,-0.003415
2021-07-14,0.001491
2021-07-15,-0.003421
2021-07-16,-0.007875
2021-07-19,-0.014878
2021-07-20,0.014229
2021-07-21,0.008064
2021-07-22,0.002092
2021-07-23,0.010236
2021-07-26,0.002452
2021-07-27,-0.004568
2021-07-28,-0.00041
2021-07-29,0.004139
2021-07-30,-0.004868
2021-08-02,-0.0021
2021-08-03,0.008103
2021-08-04,-0.004931
2021-08-05,0.006313
2021-08-06,0.001651
2021-08-09,-0.000814
2021-08-10,0.001243
2021-08-11,0.002482
2021-08-12,0.002993
2021-08-13,0.001818
2021-08-16,0.002352
2021-08-17,-0.006577
2021-08-18,-0.011005
2021-08-19,0.001547
2021-08-20,0.007925
2021-08-23,0.008758
2021-08-24,0.001586
2021-08-25,0.002096
2021-08-26,-0.005921
2021-08-27,0.008901
2021-08-30,0.004388
2021-08-31,-0.001483
2021-09-01,0.000531
2021-09-02,0.003072
2021-09-03,-0.000243
2021-09-07,-0.003582
2021-09-08,-0.001219
2021-09-09,-0.004289
2021-09-10,-0.007916
2021-09-13,0.002556
2021-09-14,-0.005411
2021-09-15,0.008318
2021-09-16,-0.001587
2021-09-17,-0.009784
2021-09-20,-0.016815
2021-09-21,-0.000945
2021-09-22,0.009708
2021-09-23,0.012077
2021-09-24,0.001646
2021-09-27,-0.002865
2021-09-28,-0.020358
2021-09-29,0.001682
2021-09-30,-0.012298
