date,return
2007-01-10,0.003326
2007-01-11,0.004371
2007-01-12,0.007568
2007-01-16,-0.001957
2007-01-17,0.000419
2007-01-18,-0.003362
2007-01-19,0.001963
2007-01-22,-0.003085
2007-01-23,0.002945
2007-01-24,0.008021
2007-01-25,-0.01181
2007-01-26,-0.000914
2007-01-29,-0.000563
2007-01-30,0.005196
2007-01-31,0.0067
2007-02-01,0.005965
2007-02-02,0.001382
2007-02-05,0.000276
2007-02-06,0.000276
2007-02-07,0.002206
2007-02-08,-0.001309
2007-02-09,-0.007475
2007-02-12,-0.00341
2007-02-13,0.008399
2007-02-14,0.006545
2007-02-15,0.001304
2007-02-16,-0.00048
2007-02-20,0.002124
2007-02-21,-0.000411
2007-02-22,-0.000754
2007-02-23,-0.003915
2007-02-26,-0.000896
2007-02-27,-0.039841
2007-02-28,0.010199
2007-03-01,-0.002985
2007-03-02,-0.013182
2007-03-05,-0.009565
2007-03-06,0.016966
2007-03-07,-0.001003
2007-03-08,0.008419
2007-03-09,0.000284
2007-03-12,0.001491
2007-03-13,-0.019625
2007-03-14,0.007422
2007-03-15,0.001364
2007-03-16,-0.002802
2007-03-19,0.011984
2007-03-20,0.005476
2007-03-21,0.016324
2007-03-22,-0.000768
2007-03-23,0.001465
2007-03-26,-0.001326
2007-03-27,-0.002377
2007-03-28,-0.007306
2007-03-29,0.001056
2007-03-30,0.000211
2007-04-02,0.001126
2007-04-03,0.010705
2007-04-04,0.001113
2007-04-05,0.002707
2007-04-09,0.001386
2007-04-10,0.001176
2007-04-11,-0.004088
2007-04-12,0.004433
2007-04-13,0.004553
2007-04-16,0.009451
2007-04-17,0.002655
2007-04-18,0.001223
2007-04-19,-0.000271
2007-04-20,0.009397
2007-04-23,-0.003776
2007-04-24,0.000405
2007-04-25,0.00914
2007-04-26,0.001136
2007-04-27,-0.000802
2007-04-30,-0.008328
2007-05-01,0.00256
2007-05-02,0.005835
2007-05-03,0.005402
2007-05-04,0.003784
2007-05-07,0.000198
